"date","day_of_week","month","year","open","close","high","low"
"22/11/2007","Thursday","November",2007,60582,60653,61102,60124
"23/11/2007","Friday","November",2007,60662,60971,61334,60662
"26/11/2007","Monday","November",2007,60973,59069,61560,59067
"27/11/2007","Tuesday","November",2007,59067,59432,59971,58096
"28/11/2007","Wednesday","November",2007,59432,61715,61858,59432
"29/11/2007","Thursday","November",2007,61720,62156,63190,61465
"30/11/2007","Friday","November",2007,62157,63006,63701,62157
"03/12/2007","Monday","December",2007,63018,63200,63682,62729
"04/12/2007","Tuesday","December",2007,63203,63482,63722,62373
"05/12/2007","Wednesday","December",2007,63483,64928,65204,63483
"06/12/2007","Thursday","December",2007,64929,65791,65791,64692
"07/12/2007","Friday","December",2007,65789,65639,66529,65278
"10/12/2007","Monday","December",2007,65642,65446,65874,65228
"11/12/2007","Tuesday","December",2007,65448,64512,66451,64127
"12/12/2007","Wednesday","December",2007,64512,64742,66171,64502
"13/12/2007","Thursday","December",2007,64735,62861,64735,62466
"14/12/2007","Friday","December",2007,62868,62445,63455,62445
"17/12/2007","Monday","December",2007,62445,59828,62445,59820
"18/12/2007","Tuesday","December",2007,59832,61096,61421,59414
"19/12/2007","Wednesday","December",2007,61108,61722,61734,60915
"20/12/2007","Thursday","December",2007,61724,61716,62467,61416
"21/12/2007","Friday","December",2007,61725,63098,63398,61725
"26/12/2007","Wednesday","December",2007,63101,64288,64304,63101
"27/12/2007","Thursday","December",2007,64287,63774,64584,63590
"28/12/2007","Friday","December",2007,63776,63886,64124,63598
"02/01/2008","Wednesday","January",2008,63885,62815,63906,62659
"03/01/2008","Thursday","January",2008,62814,62892,63129,62556
"04/01/2008","Friday","January",2008,62898,61037,63436,60574
"07/01/2008","Monday","January",2008,61054,60772,61505,60092
"08/01/2008","Tuesday","January",2008,60771,62081,62650,60771
"09/01/2008","Wednesday","January",2008,62078,62674,62674,61487
"10/01/2008","Thursday","January",2008,62677,63515,63615,62594
"11/01/2008","Friday","January",2008,63514,61942,63514,61942
"14/01/2008","Monday","January",2008,61950,62188,62536,61643
"15/01/2008","Tuesday","January",2008,62180,59907,62180,59897
"16/01/2008","Wednesday","January",2008,59906,58777,59906,58077
"17/01/2008","Thursday","January",2008,58773,57037,59643,56734
"18/01/2008","Friday","January",2008,57039,57506,58291,56241
"21/01/2008","Monday","January",2008,57503,53709,57503,53487
"22/01/2008","Tuesday","January",2008,53705,56097,56541,53610
"23/01/2008","Wednesday","January",2008,56098,54235,56098,53011
"24/01/2008","Thursday","January",2008,54242,57463,57675,54242
"28/01/2008","Monday","January",2008,57457,58594,58721,56360
"29/01/2008","Tuesday","January",2008,58597,59530,59715,58597
"30/01/2008","Wednesday","January",2008,59522,60289,60289,58752
"31/01/2008","Thursday","January",2008,60288,59490,60288,57886
"01/02/2008","Friday","February",2008,59491,61080,61187,59491
"06/02/2008","Wednesday","February",2008,61076,58969,61076,58742
"07/02/2008","Thursday","February",2008,58965,58965,59581,58030
"08/02/2008","Friday","February",2008,58967,59076,59520,58843
"11/02/2008","Monday","February",2008,59081,60643,60805,59081
"12/02/2008","Tuesday","February",2008,60645,61805,62828,60645
"13/02/2008","Wednesday","February",2008,61802,62591,63002,61802
"14/02/2008","Thursday","February",2008,62595,61819,63224,61737
"15/02/2008","Friday","February",2008,61803,61272,61803,60717
"18/02/2008","Monday","February",2008,61292,62801,62883,61292
"19/02/2008","Tuesday","February",2008,62801,62297,63590,62180
